@relation 'TimeRaptors4CSC523.py F20172018_Date_WS_Temp_Vis_Total_Num_Rnd.arff F20172018_Deltas_WS_Temp_Vis_Total_Num.arff'
% ARFF file generated @ 2020-11-08 18:16:32.160156
@attribute datetime string
@attribute WindSpdKmh numeric
@attribute Temp numeric
@attribute Visibility numeric
@attribute TOTAL numeric
@data
'2018-09-23 08:00:00',8.5,11,77,1
'2018-11-09 11:00:00',15.5,3,10,0
'2018-11-29 12:00:00',15.5,0,33,7
'2018-09-28 09:00:00',8.5,16,30,145
'2018-10-08 07:00:00',15.5,18,?,0
'2017-11-26 16:00:00',15.5,3,77,3
'2017-11-02 09:00:00',3,13,3,3
'2018-08-30 15:00:00',8.5,28,33,7
'2018-08-17 11:00:00',3,28,4,4
'2017-10-05 11:00:00',3,24,20,7
'2017-11-09 13:00:00',0,5,13,0
'2017-08-16 16:00:00',3,28,25,0
'2017-12-03 14:00:00',0,4.5,9,0
'2017-09-10 12:00:00',8.5,19,77,104
'2018-08-23 13:00:00',15.5,21,33,6
'2018-10-28 08:00:00',8.5,5,13,2
'2017-08-17 08:00:00',8.5,21,10,5
'2017-10-10 13:00:00',3,20,40,71
'2017-11-06 07:00:00',3,14,1,0
'2017-08-19 13:00:00',0,27,65,2
'2017-09-17 09:00:00',3,20,?,0
'2018-10-10 15:00:00',3,23,10,34
'2018-09-08 12:00:00',15.5,18,32,12
'2017-11-14 08:00:00',8.5,5,33,0
'2017-09-01 08:00:00',15.5,11,33,1
'2017-10-31 09:00:00',8.5,5,30,5
'2017-09-23 08:00:00',8.5,0,33,0
'2018-11-22 13:00:00',15.5,-5,33,11
'2017-12-05 12:00:00',3,10,2,0
'2018-12-07 12:00:00',15.5,-1,77,7
'2017-10-16 06:45:00',8.5,10,30,13
'2017-10-06 07:00:00',8.5,17,7,0
'2018-11-14 09:00:00',15.5,0,50,7
'2017-10-15 10:00:00',3,15,?,0
'2017-08-19 08:00:00',3,22,60,1
